ingredient 1,ingredient 2,ingredient 3,ingredient 4,ingredient 5,ingredient 6,ingredient 7,ingredient 8,ingredient 9,ingredient 10,ingredient 11,ingredient 12,ingredient 13,ingredient 14,ingredient 15,ingredient 16,ingredient 17,ingredient 18,ingredient 19,ingredient 20,ingredient 21,ingredient 22,ingredient 23,ingredient 24,ingredient 25,ingredient 26,ingredient 27,ingredient 28,ingredient 29,ingredient 30,ingredient 31,ingredient 32,ingredient 33,ingredient 34,ingredient 35,ingredient 36,ingredient 37,ingredient 38,ingredient 39,ingredient 40,ingredient 41,ingredient 42,ingredient 43,ingredient 44,ingredient 45,ingredient 46,ingredient 47,ingredient 48,ingredient 49,ingredient 50,ingredient 51,ingredient 52,ingredient 53,ingredient 54,ingredient 55,ingredient 56,descripcion
Aceite de Semilla de Sclerocarya Birrea,Aceite de Persea Americana,Aceite de Olea europaea con Extracto de Calendula officinalis,Aceite de Semilla de Oryza sativa,Palmitato de ascorbilo,Tocoferol,Extracto de Hoja de Rosmarinus officinalis,Aceites Esenciales de Boswellia serrata,Boswellia carterii oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHAL-SUERO HUMECTANTE FACIAL DE MARULA AFRICANO
Agua,aceite esencial de árbol de té y menta,aceite de almendras,extracto de semilla de toronja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XAMANIA TÓNICO FACIAL - ÁRBOL DE TÉ
Agua,aceites de jojoba,uva y almendras dulces,ácido esteárico,alcohol cetílico,cetyl alcohol,stearyl alcohol,polysorbate 60,aceites esenciales de árbol de té,lavanda aspic,naranja dulce,extracto de semilla de toronja,leucidal,ácido cítrico anhidro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xamania CREMA DIVINA - FACIAL HIDRATANTE
prunus amygdalus dulcis oil,Daucus carota sativa root extract,Persea gratissima oil,Triticum vulgare oil,Rosa canina seed oil,Tocopheryl acetate,Lavandula angustofilia essential oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koné Care ACEITE CORPORAL - ANTIESTRÍAS
Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Glycerin,Dimethiconol,Parfum,Sodium Benzoate,Glycol Distearate,Carbomer,Gluconolactone,Guar Hydroxypropyltrimonium Chloride,Cocamide Mea,Sodium Sulfate,Styrene/Acrylates Copolymer,Mica,Trehalose,Titanium Dioxide,Disodium Edta,Peg-45M,Cocos Nucifera Oil,Curcuma Aromatica Root Oil,Benzyl Salicylate,Coumarin,Linalool,Sodium Chloride,Citric Acid,Sodium Hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Dove Nutritive Secrets Ritual de Reparación
Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Camellia sinensis leaf extract,Betaine,Panthenol,Parfum,Polyquaternium-10,Glycerin,Lauryl Lactose,Phenoxyethanol,Disodium EDTA,Benzoic Acid,Dehydroacetic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natur Vital Happy Hair Champú Reforzante
AQUA,GLYCERIN,COCAMIDOPROPYL BETAINE,SODIUM PALM KERNELATE,COCO-GLUCOSIDE,GLYCERYL CAPRYLATE,PEG-150 DISTEARATE,PARFUM,POLYSORBATE 60,PANTHENOL,CITRIC ACID,PROPANEDIOL DICAPRYLATE,BUTYLENE GLYCOL,CHAMOMILLA RECUTITA FLOWER EXTRACT,PERSEA GRATISSIMA FRUIT EXTRACT,CARAMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Champú Mustela suave con Aguacate Bio
Aqua,Sodium Laureth Sulfate,Cocamidopropyl Betaine,Cocamide Dea,Coco-Glucoside,Glyceryl Oleate,Polyquaternium-7,Retinyl Palmitate,Tocopheryl Acetate,Panthenol,Sodium Ascorbyl Phosphate,Sodium Laureth Sulfate,Glycol Distearate,Cocamide MEA,Laureth-12,Parfum,Disodium EDTA,Glycerin,Propanediol,Cynara Scolymus Leaf Extract,Gluconolactone,Sodium Benzoate,Calcium Gluconate,DMDM Hydantoin,Iodopropynyl Butylcarbamate,Aloe Barbadensis Leaf Powder,Benzophenone-4,C.I. 19140,C.I. 42090,C.I. 15510,,,,,,,,,,,,,,,,,,,,,,,,,,,Naturaloe Shampoo Hidratación Y Brillo
Aqua,Sodium Laureth Sulfate,Lauramidopropyl Betaine,PEG-75 Lanolin,Cocamide Mea,Sodium Chloride,Parfum,C12-13 Alkyl Lactate,Tetrasodium Edta,Citric Acid,Methylchloroisothiazoline,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Simond's Adulto Clásico
C12-13 Alkyl Lactate,Moringa Oleifera Seed Extract,Sodium Laureth Sulfate,Ammonium Laureth Sulfate,Lauramidopropyl Betaine,PEG-150 Distearate,Cocamide Mea,PEG-7 Glyceryl Cocoate,Parfum,PEG-60 Hydrogenated Castor Oil,Tetrasodium Edta,Citric Acid,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Simond's Antioxidante Limpieza Profunda
Argania Spinosa Kernel Oil,Helianthus Annuus Seed Oil,Cocos Nucifera Oil,Linum Usitatissimum Oil,Persea Gratissima Oil,Macadamia Ternifolia Seed Oil,Olea Europaea Fruit Oil,C12-13 Alkyl Lactate,Agua,Sodium Laureth Sulfate,Ammonium Laureth Sulfate,Lauramidopropyl Betaine,PEG-150 Distearate,Cocamide Mea,PEG-7 Glyceryl Cocoate,PEG-60 Hydrogenated Castor Oil,Hydroxypropylguar Hydroxypropyltrimonium Chloride,Parfum,Tetrasodium Edta,Citric Acid,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo Simond's Antioxidante Nutritivo
Agua,Avena orgánica sativa Extracto de grano,Decil glucósido,Cocoanfocetato de sodio,Coco glucósido,Extracto de Aloe barbadensis,Glicerina,Estearato de glicerilo,Argán orgánico Aceite de nuez,Quillaja saponiaria,Aroma Cedrus Atlantica,Aceite de corteza,Ácido deshidroacético,Ácido sórbico,Ácido benzoico,Bicarbonato de sodio,Alcohol bencílico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Champú Ecológico para perros Pure Paws Original Revitalizante Pure Light Botanics
Aqua,Ammonium Lauryl Sulfate,Cocamidopropyl Betaine,Betaine,Sodium Benzoate,Potassium Sorbate,Hydrolyzed Chesnut Extract “Bio-Cosmo”,Parfum,Aloe Barbadensis Leaf Juice “Bio”,sodium Chloride,Citric Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inodorina Champú Bio Perros Pelo Largo
Aqua,Aloe Barbadiensis,Olive Oil,Butyrospermum parkli seed butter,Glyceryn,Simmondria Chinensis seed oil,Rosehip oil,Honey,Cacao Butter,Xanthan Gum,Geranium Essential Oil,Vaccinium myrtillus fruit extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aname VIO crema facial diurna Orgánica
water,ethylhexyl methoxycinnamate,octocrylene,glycerin,cyclomethicone,glyceryl stearate se,ethylhexyl salicylate,caprylic/capric triglyceride,hydrolized silk,hydrolized soy protein,cetearyl alcohol,ceteareth-20,polysorbate 20,saccharomyces cerevisiae extract,sodium dna5,sodium hyaluronate,camellia sinensis leaf extract 6,panthenol,phenoxyethanol,cyclopentasiloxane,imidazolidinyl urea,acrylates/c10-30 alkyl acrylates crosspolymer,butyrospermum parkii butter 7,calcium disodium edta,xanthan gum,bisabolol,tocopheryl acetate,dmdm hydantoin,parfum,dimethicone,bht,beta-carotene,,,,,,,,,,,,,,,,,,,,,,,,,guiv Aura crema facial diurna
water,glyceryl stearate se,caprylic/capric triglyceride,coco-caprylate,cetearyl alcohol,ceteareth-20,argania spinosa kernel oil,aloe barbadensis leaf extract,calendula officinalis extract,moringa oleifera leaf extract,olea europaea fruit oil,simmondsia chinensis seed oil1,polysorbate 20,acrylates/c10-30 alkyl acrylates crosspolymer,phenoxyethanol,dmdm hydantoin,calcium disodium edta,parfum,tocopheryl acetate,allantoin,niacinamide2,sodium ascorbyl phosphate,butyrospermum parkii butter3,bisabolol,bht,phospholipids,rosa moschata oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guiv Selene crema de noche
Aqua,Cetearyl Alcohol,Cetrimonium Chloride,Shea Butter Cetyl Esters,Parfum,Methylchloroisothiazolinone,Methylisothiazolinone,Citric Acid,Panthenol,Persea Gratissima Fruit Extract,Ricinus Communis Seed Oil,Aloe Barbadensis Extract,Tocopheryl Acetate,Hexyl Cinnamal,Cl 19.140,Cl 42.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skala Expert Argila Branca
aqua,sorbitan olivate,glycerin,butylene glycol,carbomer-polysorbate 20,palmitoyl pentapeptide,ethylhexyl methoxycinnamate,hydrogenated polyisobutene,psidium guajava fruit extract,fucus vesiculosus extract,biosaccharide gum-1,cetyl palmitate,sodium polyacrylate,dimethicone,parfum,chlorphenesin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anakena Crema facial multiactiva
Aqua,Cetearyl Alcohol & ceteareth 20,Propylene glycol,Paraffinum liquidum,Isopropyl myristate,Equisetum arvense,Propylene glycol,Alcohol,Lecithin,Polysorbate 80,Xanthan Gum,Imidazolidinyl Urea,Tocopheryl acetate,Disodium EDTA,Methylparaben,Propyl paraben & BHT,Aqua & Hyaluronic acid,Glycosaminoglycans,Carnitine,Propylparaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVIAHUE Dermocosmética Termal Contorno de ojos
Aqua,Cetearyl Alcohol & ceteareth 21,Paraffinum liquidum,Propylene glycol,Propyleneglycol dicaprylate/dicaprate,Thermal water,Equisetum arvense,Propylene glycol,Alcohol,Lecithin,Polysorbate 80,Xanthan Gum,Imidazolidinyl Urea,Tocopheryl acetate,Disodium EDTA,Methylparaben,Propyl paraben & BHT,Glycine soja extract,Aqua & Hyaluronic acid,Octyl methoxycinnamate,Allantoin,Carbomer,Benzophenone 3,Methylparaben,Dimethicone,Carnitine,hyaluronic acid,Propylparaben,Parfum,Alpha-isometil ionone,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,CAVIAHUE Dermocosmética Termal Crema antiage DIA
Aqua,Cetearyl Alcohol & ceteareth 22,Paraffinum liquidum,Propylene glycol,Equisetum arvense,Propylene glycol,Alcohol,Lecithin,Polysorbate 80,Xanthan Gum,Imidazolidinyl Urea,Tocopheryl acetate,Disodium EDTA,Methylparaben,Propyl paraben & BHT,Glycine soja extract,Aqua & Hyaluronic acid,Dimethicone,Allantoin,Carbomer,Carnitine,Propylparaben,Parfum,Alpha-isometil ionone,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVIAHUE Dermocosmética Termal Crema antiage NOCHE
Aqua,Glycerin,Butyrospermum Parkii Butter,Cetyl Palmitate,Olus Oil,Cetyl Alcohol,Isopropyl Palmitate,aloe barbadensis leaf juice powder,Dimethicone,Sodium Polyacrylate,Phenoxyethanol,Sodium Hydroxide,Ethylhexylglycerin,Parfum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nivea Cuidado 5 en 1 Sensitive
Aqua,Cetearyl Alcohol,Behentrimonium Chloride,Dimethicone,Parfum,Amodimethicone,Disodium Edta,Cocos Nucifera Oil,Methylchloroisothiazolinone,Methylisothiazolinone,Coumarin,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Bomba Coco Acondicionador
Aqua,Cetearyl Alcohol,Behentrimonium Chloride,Dimethicone,Argania Spinosa Kernel Oil,Parfum,Amodimethicone,Disodium Edta,Ci 19140,Methylchloroisothiazolinone,Ci 17200,Methylisothiazolinone,Ci 42090,Butylphenyl Methylpropional,Coumarin,Limonene,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Bomba Argán Acondicionador
Aqua,Cetearyl Alcohol,Dimethicone,Behentrimonium Chloride,Parfum,Stearamidopropyl Dimethylamine,Amodimethicone,Sodium Chloride,Lactic Acid,Dmdm Hydantoin,Disodium Edta,Ethylhexyl Methoxycinnamate,Ceramide 2,Methylchloroisothiazolinone,Ci 17200,Methylisothiazolinone,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Hexyl Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Ceramidas Acondicionador
Aqua,Cetearyl Alcohol,Behentrimonium Chloride,Dimethicone,Parfum,Glycerin,Stearamidopropyl Dimethylamine,Amodimethicone,Sodium Chloride,Lactic Acid,Disodium Edta,Argania Spinosa Kernel Oil,Cocos Nucifera Oil,Methylchloroisothiazolinone,Methylisothiazolinone,Charcoal Powder,Citronellol,Hexyl Cinnamal,Limonene,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Carbón Activado + Peonias Acondicionador
AQUA,CETEARYL ALCOHOL,BEHENTRIMONIUM CHLORIDE,DIMETHICONE,PARFUM,AMODIMETHICONE,GLUCONOLACTONE,TREHALOSE,DISODIUM EDTA,LACTIC ACID,SODIUM SULFATE,SODIUM ASCORBYL PHOSPHATE,HYDROLYZED COLLAGEN,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,BENZYL SALICYLATE,HEXYL CINNAMAL,LIMONENE,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Colágeno + Vitamina C Acondicionador
AQUA,CETEARYL ALCOHOL,BEHENTRIMONIUM CHLORIDE,DIMETHICONE,PARFUM,AMODIMETHICONE,DISODIUM EDTA,RETINYL PALMITATE,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,HYDROLYZED HYALURONIC ACID,BENZYL SALICYLATE,CITRONELLOL,GERANIOL,HEXYL CINNAMAL,LIMONENE,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Ácido Hialurónico + Vitamina A Acondicionador
Aqua,Cetearyl Alcohol,Behentrimonium Chloride,Dimethicone,Butyrospermum Parkii Butter,Persea Gratissima Fruit Extract,Parfum,Amodimethicone,Disodium Edta,Ci 19140,Methylchloroisothiazolinone,Ci 17200,Methylisothiazolinone,Ci 42090,Butylphenyl Methylpropional,Hexyl Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Bomba de Nutrición Acondicionador
Aqua,Cetearyl Alcohol,Dimethicone,Behentrimonium Chloride,Parfum,Stearamidopropyl Dimethylamine,Amodimethicone,Sodium Chloride,Lactic Acid,Dmdm Hydantoin,Disodium Edta,Ethylhexyl Methoxycinnamate,Ceramide 2,Methylchloroisothiazolinone,Ci 17200,Methylisothiazolinone,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Hexyl Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Liso Perfecto Acondicionador
Aqua,Cetearyl Alcohol,Dimethicone,Behentrimonium Chloride,Parfum,Stearamidopropyl Dimethylamine,Amodimethicone,Sodium Chloride,Lactic Acid,Dmdm Hydantoin,Disodium Edta,Ethylhexyl Methoxycinnamate,Ceramide 2,Methylchloroisothiazolinone,Ci 17200,Methylisothiazolinone,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Hexyl Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Restauración Instantánea
Aqua,Cetyl Alcohol,Stearamidopropyl Dimethylamine,Stearylalcohol,Glutamicacid,Bis-Aminopropyl Dimethicone,Parfum,Benzyl Alcohol,Citric Acid,Disodium Edta,Phenoxyethanol,Panthenol,Panthenyl Ethyl Ether,Hexyl Cinnamal,Tocopheryl Acetate,Methylchloroisothiazolinone,Methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantene Micelar Purifica e Hidrata Acondicionador
Water,sodium c14-16 olefin sulfonate,Cocamide DEA,cocamidopropyl betaine,Disodium lauryl sulfosuccinate,Parfum,Polyquaternium-10,Propylene glycol,Linoleamidopropyl PG-Dimonium Chloride Phosphate,Polyquaternium-7,PEG-120 Methyl Glucose Trioleate,Citric Acid,Butyl Methoxydibenzoylmethane,Potassium Sorbate,Benzyl Salicylate,Hydrolyzed Keratin,Magnesium Nitrate,Sodium PCA,Sodium Lactate,Argania Spinosa Kernel Oil,Arginine,Aspartic Acid,Tocopheryl Acetate,PCA,Glycine,Alanine,Methylchloroisothiazolinone,Serine,Valine,Magnesium Chloride,Isoleucine,Proline,C.I. 19140,Methylisothiazolinone,C.I. 16035,EDTA,Sodium Benzoate,Histidine,Phenylalanine,,,,,,,,,,,,,,,,,,Kativa Argan Oil Shampoo
Water,Dicaprylyl ether,Paraffinum Liquidum,Tocopheryl Acetate,Glyceryl Stearate,Cetearyl Ethylhexanoate,Peg-100 stearate,Triticum Vulgare Germ Oil,Zea Mays Oil,Ceteareth-20,Dimethicone,Simmondsia Chinensis Seed Oil,Panthenol,Glycine Soja Oil,Allantoin,Malva sylvestris flower Extract,Glycerin,Serine,Bisabolol,Sodium Hyaluronate,Chamomilla recutita flower Extract,Fragrance,Carbomer,Stearic Acid,Ethoxydiglycol,Propylene glycol,Potassium Sorbate,Methylparaben,Lactic Acid,Isopropyl myristate,Sorbitol,TEA-Lactate,Urea,Sodium Hydroxide,Propylparaben,PEG 8,Butylene glycol,Glucose,Sodium Chloride,Tocopherol,Sodium Benzoate,Ascorbyl Palmitate,Gallic Acid,Ascorbic Acid,Citric Acid,Amyl cinnamal,Benzyl alcohol,Cinnamyl alcohol,Eugenol,Hydroxycitronellal,isoeugenol,Benzyl salicylate,Coumarin,Geraniol,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Linalool,Just Malva Loción Cremosa Herbal para piel delicada
Sodium Lauroyl Isethionate,Stearic Acid,Sodium Stearate,Sodium Oleate,Sodium Palmitate,Sodium Linoleate,Sodium Laurate,Sodium Myristate,Aqua,Sodium Isethionate,Lauric Acid,Cocamidopropyl Betaine,Parfum,Sodium Chloride,Titanium Dioxide,Zinc Oxide,Tetrasodium Edta,Etidronic Acid,Alpha-Isometyl Ionone,Butylphenyl Methylpropional,Citronellol,Coumarin,Hexyl Cinnamal,Limonene,Linalool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jabon de Tocador Dove Original
Agua,Sodium Laureth Sulfate,Sodium Xylenesulfonate,Zinc Carbonate,Glycol Distearate,Sodium Lauryl Sulfate,Dimethicone,Zinc Pyrithione,Cocamidopropyl Betaine,Cocamide Mea,Parfum,Sodium Chloride,Guar Hydroxypropyltrimonium Chloride,Sodium Benzoate,Hexyl Cinnamal,Hydrochloric Acid,Stearyl Alcohol,Magnesium Carbonate Hydroxide,Linalool,Cetyl Alcohol,Hydroxycitronellal,Polyquaternium-76,Tocopheryl Acetate,Methylchloroisothiazolinone,Methylisothiazolinone,Menthol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Head & Shoulders Crece Fuerte
Aqua,Cetearyl Alcohol,Dimethicone,Behentrimonium Chloride,Parfum,Stearamidopropyl Dimethylamine,Amodimethicone,Sodium Chloride,Lactic Acid,Dmdm Hydantoin,Disodium Edta,Ethylhexyl Methoxycinnamate,Ceramide 2,Methylchloroisothiazolinone,Ci 17200,Methylisothiazolinone,Benzyl Salicylate,Butylphenyl Methylpropional,Citronellol,Hexyl Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedal Crema Balance Acondicionador
SCI,manteca de cacao,arcilla blanca,agua,vitamina E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sos Natural Shampoo Sólido
aceite de coco orgánico,bicarbonato de sodio,fecula de mandioca,Eucalyptus Globulus Leaf Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desodorante en Crema 24hrs Natural Fro
agua destilada,cuarzo puro,ceral vg,cera de soja,aceite de almendras,manteca de karité,aceite de ricino,glicerina,aceite de jojoba,euxyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crema Exfoliante Natural Fro
Aqua,glycerin,citric acid,paraffinum liquidum,cetearyl ethylhexanoate,cetearyl alcohol,Glyceryl Stearate,peg-100,BUTYROSPERMUM PARKII BUTTER,dimethicone,sodium hydroxide,persea gratissima oil,tocopheryl acetate,tocopherol,cera microcristallina,paraffin,parfum,acrylates/C10-30 alkyl acrylate crosspolymer,xanthan gum,caprylyl glycol,phenoxyethanol,citronellol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cream Pure Urea 10% Deliplus
Aqua,Glycerin,Ethylhexyl palmitate,Glyceryl Stearate,BUTYROSPERMUM PARKII BUTTER,cetyl alcohol,dimethicone,paraffinum liquidum,ceteareth-20,peg-8 beeswax,prunus amygdalus dulcis oil,allantoin,tocopheryl acetate,tocopherol,ascorbyl palmitate,cera microcristallina,paraffin,ceteareth-12,cetearyl alcohol,cetyl palmitate,parfum,acrylates/C10-30 alkyl acrylate crosspolymer,bht,peg-8,ascorbic acid,phenoxyethanol,tetrasodium glutamate diacetate,piroctone olamine,sodium hydroxide,citronellol,citric acid,,,,,,,,,,,,,,,,,,,,,,,,,,Cream Hidratante Anti-sec Deliplus
Aqua,Dimethicone,Glycerin,Stearyl Olivate,Trehalose,Sodium Hyaluronate,Ethylhexylglycerin,Dimethicone Crosspolymer,Dimethiconol,Polyacrylamide,C13-14 Isoparaffin,Synthetic Beeswax,Sorbitan Olivate,Laureth-7,Carbomer,Sodium Hydroxide,Chlorphenesin,Phenoxyethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutrogena Hydro Boost Water gel hidratante
Aqua/​Water,Glycerin,Dimethicone,Caprylic/​Capric Triglyceride,Pentaerythrityl Tetraisostearate,Synthetic Wax,Butyrospermum Parkii Butter/​Shea Butter,Alcohol Denat,Hydrogenated Polyisobutene,Ammonium Polyacryldimethyltauramide/​Ammonium Polyacryloyldimethyl Taurate,Pentylene Glycol,Glyceryl Stearate,Behenyl Alcohol,Stearyl Dimethicone,Glyceryl Stearate Citrate,Sodium Hyaluronate,Phenoxyethanol,Chondrus Crispus (Carrageenan),Disodium Ethylene Dicocamide PEG-15 Disulfate,Disodium EDTA,Caprylyl Glycol,Citric Acid,Biosaccharide Gum-1,Parfum/​Fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vichy Aqualia thermal rich
Water\Aqua\Eau,Cyclopentasiloxane,Algae (Seaweed) Extract,Glycerin,Cyclohexasiloxane,Butylene Glycol,Dimethicone,Ammonium Acryloyldimethyltaurate/Vp Copolymer,Citrus Aurantifolia (Lime) Peel Extract,Octyldodecyl Stearoyl Stearate,Limnanthes Alba (Meadowfoam) Seed Oil,Sesamum Indicum (Sesame) Seed Oil,Medicago Sativa (Alfalfa) Seed Powder,Helianthus Annuus (Sunflower) Seedcake,Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,Eucalyptus Globulus (Eucalyptus) Leaf Oil,Sodium Gluconate,Copper Gluconate,Calcium Gluconate,Magnesium Gluconate,Zinc Gluconate,Tocopheryl Succinate,Niacin,Sesamum Indicum (Sesame) Seed Powder,Hypnea Musciformis (Algae) Extract,Sigesbeckia Orientalis (St. Paul'S Wort) Extract,Acetyl Hexapeptide-8,Sorbitol,Palmitoyl Hexapeptide-12,Gelidiella Acerosa Extract,Chondrus Crispus (Carrageenan) Extract,Niacinamide,Sucrose,Laminaria Digitata Extract,Peg-8,Sodium Hyaluronate,Squalane,Trehalose,Saccharide Isomerate,Oleth-10,Tocopheryl Acetate,Caffeine,Glyceryl Polymethacrylate,Alcohol Denat.,Hydrogenated Lecithin,Fragrance (Parfum),Disodium Edta,Bht,Linalool,Hydroxycitronellal,Citronellol,Geraniol,Limonene,Potassium Sorbate,Phenoxyethanol,,La Mer The Moisturizing Cool Gel Cream
Aqua,Glicerina,Glyceryl Glucoside,Simmondsia Chinensis Seed Oil,Hydrogenated Coco-Glycerides,Caprylic/Capric Triglyceride,Isopropyl Palmitate,Synthetic Beeswax,Glyceryl Stearate Citrate,Distarch Phosphate,Octyldodecanol,Pentylene Glycol,Panthenol,Cetyl Alcohol,Stearyl Alcohol,Sodium Hyaluronate,Biotina (vitamina B7),Glycine,Alanine,Carbomer,Tocopheryl Acetate,Dimethicone,Caprylyl Glycol,Phenoxyethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucerin crema facial hidratante aquaporin piel seca
AQUA/WATER,OCTYLDODECANOL,GLYCERIN,PROPANEDIOL,COCO CAPRYLATE/CAPRATE,CORN STARCH MODIFIED,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL,SODIUM HYALURONATE,ARACHIDYL ALCOHOL,BEHENYL ALCOHOL,XYLITYLGLUCOSIDE,ANHYDROXYLITOL,ARACHIDYL GLUCOSIDE,ETHYLHEXYLGLYCERIN,XYLITOL,DISODIUM EDTA,XANTHAN GUM,SORBITAN ISOSTEARATE,POLYSORBATE 60,SODIUM HYDROXIDE,CITRIC ACID,TOCOPHEROL,PHENOXYETHANOL,SODIUM BENZOATE,PARFUM/FRAGRANCE,LINALOOL,HEXYL CINNAMAL,CITRONELLOL,GERANIOL,CITRAL,CI 42090/BLUE 1,,,,,,,,,,,,,,,,,,,,,,,,,L'Occitaine Crema ultra hidratante Aqua Réotier
AQUA,GLYCERIN,ELAEIS GUINEENSIS OIL,OLUS OIL,HELIANTHUS ANNUUS HYBRID OIL,CYCLOPENTASILOXANE,TREHALOSE,ZEA MAYS STARCH,DIMETHICONE,SODIUM POLYACRYLATE,PHENOXYETHANOL,PARFUM,LINUM USITATISSIMUM SEED OIL,DIMETHICONOL,SODIUM ACRYLATES COPOLYMER,HYDROXYACETOPHENONE,CAPRYLIC/CAPRIC TRIGLYCERIDE,POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE,LAURYL GLUCOSIDE,TOCOPHERYL ACETATE,THEOBROMA CACAO SEED BUTTER,POLYGLYCERYL-3 CAPRYLATE,DISODIUM EDTA,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,SORBITAN OLEATE,TOCOPHEROL,STEARYL ALCOHOL,CETEARETH-6,LIMONENE,LINALOOL,ALPHA-ISOMETHYL IONONE,GERANIOL,COUMARIN,CITRAL,,,,,,,,,,,,,,,,,,,,,,,Natura Tododia Crema Hidratante Corporal Hojas de Limon y Guanabana
Aqua,aluminum chlorohydrate,STEARETH-2,Dimethicone,Ppg-15 stearyl ether,Steareth-20,Fragrance,Isopropyl palmitate,Methylparaben,BHT,calcium disodium edta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hinds Delicious Antitranspirant Sin Alcohol
