codigo,descripcion,presentacion,rubro_id,observaciones,numero_ingredientes,x0,x1,x2,x3,x4
781848,Guiv gel de limpieza vía láctea,75 ml,Cuidado personal;Cuidado facial;limpieza facial,"Testeado dermatológicamente ,No contiene alcohol etílico I Libre de parabenos I Libre de sulfatos I Libre de Siliconas I No testeado en animales I Mineral oil free",14,,,,,
779649,G&H Jabón liquido corporal vegano,220ml,Cuidado personal;Cuidado corporal;Jabones,,23,,,,,
3600541594937,Todo en 1 Agua Micelar,400ml,Cuidado Personal;Cuidado Facial;Limpieza Facial,,9,,,,,
779651,Dermaglós Crema Suavizante para manos,50 gr,Cuidado Personal;Cuidado Corporal;Manos y Pies,,23,,,,,
779652,Dermaglós Crema nutritiva de noche seca,50 gr,Cuidado Personal;Cuidado Facial;Humectante,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC",26,,,,,
779653,Dermaglós Crema contorno de ojos,15 gr,Cuidado Personal;Cuidado Facial;Humectante,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC",44,,,,,
779654,Dermaglós desmaquillante Bifaz de ojos,100ml,Cuidado Personal;Cuidado Facial;Limpieza Facial,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC",19,,,,,
779655,Dermaglós Gel de limpieza purificante,,Cuidado Personal;Cuidado Facial;Limpieza Facial,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC,Sin parabenos",24,,,,,
779656,Dermaglós Agua micelar,200ml,Cuidado Personal;Cuidado Facial;Limpieza Facial,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC",14,,,,,
779647,Dermaglós Crema con color BB,50 gr,Cuidado Personal;Cuidado Facial;Humectante,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC,Sin parabenos",30,,,,,
779658,Dermaglós Crema con color CC,50 gr,Cuidado Personal;Cuidado Facial;Humectante,"Hipoalergénica,Apto piel sensible,Testeada dermatológica y oftalmológicamente ,No comedogénica,Sin TACC",31,,,,,
779659,Al Bosque agua micelar bifásica manzanilla y jojoba,125 ml,Cuidado Personal;Cuidado Facial;Limpieza Facial,"libre de sulfatos y parabenos, certificado OIA",10,,,,,
779660,Al Bosque crema de día Jojoba y aceite pecán,30 ml,Cuidado Personal;Cuidado Facial;Hidratantes,"libre de sulfatos y parabenos, certificado OIA",16,,,,,
779661,Al bosque Crema facial de noche,30 ml,Cuidado Personal;Cuidado Facial;Hidratantes,"libre de sulfatos y parabenos, certificado OIA",17,,,,,
779662,Al bosque unguento antiviral,30 ml,Cuidado personal;Cuidado corporal,"libre de sulfatos y parabenos, certificado OIA",4,,,,,
779663,Al bosque Jabón del río de la plata,90 grs,Cuidado personal;Cuidado corporal;Jabones,"libre de sulfatos y parabenos, certificado OIA",10,,,,,
3037664,La Roche-Posay Posthelios Gel fundente,200ml,Cuidado Personal;Cuidado Corporal;Crema Corporal,,17,,,,,
779665,Frenzzi Naturale shampoo de arandanos,,Cuidado Personal;Cuidado del cabello;Shampoo,,32,,,,,
